Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
4/1/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,9
4/1/2020,2,Ozark,TV Show,21-Jul-17,5
4/1/2020,3,All American,TV Show,28-Mar-19,9
4/1/2020,4,Blood Father,Movie,26-Mar-20,5
4/1/2020,5,The Platform,Movie,20-Mar-20,9
4/1/2020,6,Car Masters: Rust to Riches,TV Show,14-Sep-18,4
4/1/2020,7,Unorthodox,TV Show,26-Mar-20,2
4/1/2020,8,Love is Blind,TV Show,13-Feb-20,9
4/1/2020,9,Badland,Movie,26-Mar-20,4
4/1/2020,10,Uncorked,Movie,27-Mar-20,4
4/2/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,10
4/2/2020,2,Ozark,TV Show,21-Jul-17,6
4/2/2020,3,All American,TV Show,28-Mar-19,10
4/2/2020,4,Nailed It!,TV Show,9-Mar-18,1
4/2/2020,5,How to Fix a Drug Scandal,TV Show,1-Apr-20,1
4/2/2020,6,Blood Father,Movie,26-Mar-20,6
4/2/2020,7,The Roommate,Movie,1-Apr-20,1
4/2/2020,8,Unorthodox,TV Show,26-Mar-20,3
4/2/2020,9,The Platform,Movie,20-Mar-20,10
4/2/2020,10,Car Masters: Rust to Riches,TV Show,14-Sep-18,5
4/3/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,11
4/3/2020,2,Ozark,TV Show,21-Jul-17,7
4/3/2020,3,All American,TV Show,28-Mar-19,11
4/3/2020,4,How to Fix a Drug Scandal,TV Show,1-Apr-20,2
4/3/2020,5,Nailed It!,TV Show,9-Mar-18,2
4/3/2020,6,The Roommate,Movie,1-Apr-20,2
4/3/2020,7,Unorthodox,TV Show,26-Mar-20,4
4/3/2020,8,The Players Club,Movie,1-Apr-20,1
4/3/2020,9,Salt,Movie,1-Apr-20,1
4/3/2020,10,Blood Father,Movie,26-Mar-20,7
4/4/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,12
4/4/2020,2,Ozark,TV Show,21-Jul-17,8
4/4/2020,3,Money Heist,TV Show,20-Dec-17,1
4/4/2020,4,All American,TV Show,28-Mar-19,12
4/4/2020,5,Coffee & Kareem,Movie,3-Apr-20,1
4/4/2020,6,How to Fix a Drug Scandal,TV Show,1-Apr-20,3
4/4/2020,7,The Roommate,Movie,1-Apr-20,3
4/4/2020,8,Nailed It!,TV Show,9-Mar-18,3
4/4/2020,9,Unorthodox,TV Show,26-Mar-20,5
4/4/2020,10,The Players Club,Movie,1-Apr-20,2
4/5/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,13
4/5/2020,2,Ozark,TV Show,21-Jul-17,9
4/5/2020,3,Coffee & Kareem,Movie,3-Apr-20,2
4/5/2020,4,Money Heist,TV Show,20-Dec-17,2
4/5/2020,5,All American,TV Show,28-Mar-19,13
4/5/2020,6,How to Fix a Drug Scandal,TV Show,1-Apr-20,4
4/5/2020,7,Nailed It!,TV Show,9-Mar-18,4
4/5/2020,8,The Roommate,Movie,1-Apr-20,4
4/5/2020,9,Angel Has Fallen,Movie,4-Apr-20,1
